event_id,present_days,priced_days,interior_absent,unpriced_present,leading_absent,trailing_absent,first_present,last_present
rZ7HnEZ1Af-6Fd,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6JK,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6ZN,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6ZS,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6_S,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6aS,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6bd,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6fK,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6fS,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6qK,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6rK,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6rd,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6uN,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6ud,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-6vS,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-77N,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-77d,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-78S,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-7GN,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-7QK,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-7ZK,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-7Zd,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-7_S,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-7aS,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-7uS,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-7vd,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-8-K,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-8-S,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-80S,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-83d,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-84S,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-87K,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-8AK,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-8AS,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-8Cd,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-8FK,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-8FS,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-8Fd,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-8GK,16,16,0,0,0,0,2026-06-11,2026-06-26
