dma,dma_name,state,geo_code
802,Eureka CA,CA,US-CA-802
803,Los Angeles CA,CA,US-CA-803
804,Palm Springs CA,CA,US-CA-804
807,San Francisco-Oakland-San Jose CA,CA,US-CA-807
810,Yakima-Pasco-Richland-Kennewick WA,WA,US-WA-810
811,Reno NV,NV,US-NV-811
813,Medford-Klamath Falls OR,OR,US-OR-813
819,Seattle-Tacoma WA,WA,US-WA-819
820,Portland OR,OR,US-OR-820
821,Bend OR,OR,US-OR-821
825,San Diego CA,CA,US-CA-825
828,Monterey-Salinas CA,CA,US-CA-828
839,Las Vegas NV,NV,US-NV-839
855,Santa Barbara-Santa Maria-San Luis Obispo CA,CA,US-CA-855
862,Sacramento-Stockton-Modesto CA,CA,US-CA-862
866,Fresno-Visalia CA,CA,US-CA-866
868,Chico-Redding CA,CA,US-CA-868
881,Spokane WA,WA,US-WA-881
